,user,buddy1,buddy2,buddy3,buddy4,buddy5,buddy6,number
182,u4183,,,,,,,0
183,u4184,,,,,,,0
184,u4185,u4186,u4187,u4188,,,,3
185,u4186,,,,,,,0
186,u4187,,,,,,,0
187,u4188,,,,,,,0
188,u4189,unan,unan,unan,unan,unan,unan,6
189,u4190,,,,,,,0
190,u4191,,,,,,,0
191,u4192,,,,,,,0
192,u4193,,,,,,,0
193,u4194,,,,,,,0
194,u4195,,,,,,,0
195,u4196,u4001,u4001,u4001,u4001,u4001,u4001,6
196,u4197,,,,,,,0
197,u4198,,,,,,,0
198,u4199,,,,,,,0
199,u4200,,,,,,,0
200,u4201,u4016,u4018,u4015,u4222,u4101,u4025,6
201,u4202,,,,,,,0
202,u4203,,,,,,,0
203,u4204,,,,,,,0
204,u4205,,,,,,,0
205,u4206,,,,,,,0
206,u4207,u4019,u4012,u4013,u4014,u4015,u4016,6
207,u4208,unan,unan,unan,unan,unan,unan,6
208,u4209,,,,,,,0
209,u4210,u4001,u4002,u4002,u4003,u4004,u4005,6
210,u4211,,,,,,,0
211,u4212,,,,,,,0
212,u4213,,,,,,,0
213,u4214,,,,,,,0
214,u4215,,,,,,,0
215,u4216,u4223,u4228,,,,,2
216,u4217,,,,,,,0
217,u4218,,,,,,,0
218,u4219,,,,,,,0
219,u4220,,,,,,,0
220,u4221,,,,,,,0
221,u4222,,,,,,,0
222,u4223,,,,,,,0
223,u4224,,,,,,,0
224,u4225,,,,,,,0
225,u4226,,,,,,,0
226,u4227,,,,,,,0
227,u4228,,,,,,,0
228,u4229,,,,,,,0
229,u4230,u4192,,,,,,1
230,u4231,u3001,u3002,u3003,u3004,u3005,u3006,6
231,u4232,,,,,,,0
232,u4233,,,,,,,0
233,u4234,,,,,,,0
234,u4235,,,,,,,0
235,u4236,u4210,,,,,,1
236,u4237,,,,,,,0
237,u4238,,,,,,,0
238,u4239,u4001,u4026,u4125,u4255,u4155,u4175,6
239,u4240,u3138,u3142,u3191,u3219,u3245,u3246,6
240,u4241,,,,,,,0
241,u4242,,,,,,,0
242,u4243,,,,,,,0
243,u4244,,,,,,,0
244,u4245,,,,,,,0
245,u4246,,,,,,,0
246,u4247,u4247,u4007,,,,,2
247,u4248,,,,,,,0
248,u4249,,,,,,,0
249,u4250,,,,,,,0
250,u4251,,,,,,,0
251,u4252,,,,,,,0
252,u4253,u4253,u4253,u4253,u4253,u4253,u4253,6
253,u4254,,,,,,,0
254,u4255,u4256,u4230,u4235,u4236,u4225,u4222,6
255,u4256,u4001,u4020,u4031,u4033,u4200,u4210,6
