,user,buddy1,buddy2,buddy3,buddy4,buddy5,buddy6,number
128,u4129,u4136,u4172,u4197,u4206,u4213,u4230,6
129,u4130,u4131,u4145,u4153,u4167,u4199,u4255,6
130,u4131,u4130,u4162,u4177,u4184,u4241,u4244,6
131,u4132,,,,,,,0
132,u4133,,,,,,,0
133,u4134,,,,,,,0
134,u4135,u4149,u4184,u4205,u4220,u4243,u4246,6
135,u4136,u4129,u4138,u4152,u4217,u4249,u4253,6
136,u4137,u4139,u4154,u4164,u4193,u4196,u4215,6
137,u4138,,,,,,,0
138,u4139,u4137,u4170,u4182,u4197,u4214,u4232,6
139,u4140,u4190,u4203,u4208,u4217,u4223,u4234,6
140,u4141,u4145,u4148,u4181,u4186,u4195,u4223,6
141,u4142,u4146,u4200,u4212,u4231,u4240,u4250,6
142,u4143,u4178,u4196,u4211,u4221,u4244,u4248,6
143,u4144,,,,,,,0
144,u4145,u4130,u4141,u4161,u4204,u4244,u4251,6
145,u4146,,,,,,,0
146,u4147,u4133,u4155,u4205,u4209,u4211,u4254,6
147,u4148,u4141,u4146,u4169,u4200,u4252,,5
148,u4149,,,,,,,0
149,u4150,,,,,,,0
150,u4151,u4155,u4170,u4173,u4223,u4244,u4249,6
151,u4152,u4136,u4149,u4166,u4193,u4230,u4254,6
152,u4153,u4130,u4156,u4163,u4169,u4193,,5
153,u4154,u4137,u4179,u4187,u4210,u4247,,5
154,u4155,u4147,u4151,u4153,u4180,u4203,u4216,6
155,u4156,u4153,u4173,u4175,u4198,u4227,u4232,6
156,u4157,u4146,u4180,u4212,u4231,u4236,u4242,6
157,u4158,,,,,,,0
158,u4159,u4154,u4164,u4173,u4194,u4203,u4242,6
159,u4160,,,,,,,0
160,u4161,,,,,,,0
161,u4162,u4131,u4144,u4183,u4196,u4214,u4226,6
162,u4163,u4153,u4174,u4176,u4195,u4207,u4222,6
163,u4164,u4137,u4159,u4166,u4237,u4243,u4245,6
164,u4165,u4132,u4146,u4180,u4181,u4192,u4203,6
165,u4166,u4152,u4164,u4169,u4181,u4182,u4217,6
166,u4167,,,,,,,0
167,u4168,u4134,u4138,u4158,u4189,u4200,u4225,6
168,u4169,u4148,u4153,u4158,u4166,u4191,u4211,6
169,u4170,u4139,u4151,u4187,u4251,,,4
170,u4171,u4158,u4189,u4191,u4192,u4235,u4250,6
171,u4172,u4129,u4195,u4204,u4222,u4245,u4247,6
172,u4173,,,,,,,0
173,u4174,u4150,u4163,u4199,u4201,u4203,u4247,6
174,u4175,u4149,u4188,u4202,u4213,u4251,,5
175,u4176,u4163,u4219,u4229,u4233,u4241,,5
176,u4177,u4131,u4146,u4185,u4202,,,4
177,u4178,u4143,u4170,u4182,u4216,u4224,u4232,6
178,u4179,,,,,,,0
179,u4180,u4155,u4157,u4165,u4193,u4232,u4235,6
180,u4181,u4141,u4165,u4166,u4228,u4230,u4236,6
181,u4182,u4139,u4183,u4193,u4200,u4223,u4235,6
182,u4183,u4162,u4182,u4225,u4245,u4246,,5
183,u4184,,,,,,,0
184,u4185,u4177,u4199,u4230,,,,3
185,u4186,,,,,,,0
186,u4187,u4154,u4170,u4204,u4229,u4238,u4242,6
187,u4188,u4175,u4205,u4214,u4220,u4253,u4254,6
188,u4189,,,,,,,0
189,u4190,u4134,u4140,u4216,u4224,u4245,u4256,6
190,u4191,,,,,,,0
191,u4192,,,,,,,0
192,u4193,u4137,u4153,u4180,u4182,u4235,,5
193,u4194,u4159,u4167,u4173,u4189,u4209,u4221,6
194,u4195,,,,,,,0
195,u4196,,,,,,,0
196,u4197,,,,,,,0
197,u4198,,,,,,,0
198,u4199,u4130,u4167,u4174,u4185,u4225,u4227,6
199,u4200,u4142,u4148,u4168,u4182,u4219,u4236,6
200,u4201,,,,,,,0
201,u4202,,,,,,,0
202,u4203,u4140,u4155,u4159,u4165,u4174,u4234,6
203,u4204,u4205,,,,,,1
204,u4205,,,,,,,0
205,u4206,,,,,,,0
206,u4207,,,,,,,0
207,u4208,,,,,,,0
208,u4209,u4132,u4147,u4194,u4217,u4221,u4229,6
209,u4210,,,,,,,0
210,u4211,,,,,,,0
211,u4212,u4142,u4157,u4179,u4208,u4215,u4236,6
212,u4213,,,,,,,0
213,u4214,,,,,,,0
214,u4215,u4137,u4195,u4197,u4212,u4237,u4241,6
215,u4216,u4229,,,,,,1
216,u4217,u4136,u4140,u4161,u4166,u4209,u4241,6
217,u4218,,,,,,,0
218,u4219,,,,,,,0
219,u4220,u4135,u4173,u4188,u4191,u4225,u4233,6
220,u4221,u4132,u4143,u4144,u4194,u4209,u4211,6
221,u4222,u4163,u4167,u4172,u4189,u4193,u4249,6
222,u4223,u4140,u4141,u4151,u4182,u4224,u4251,6
223,u4224,u4178,u4190,u4223,u4228,u4231,u4239,6
224,u4225,,,,,,,0
225,u4226,,,,,,,0
226,u4227,,,,,,,0
227,u4228,u4181,u4195,u4224,u4229,u4235,u4237,6
228,u4229,u4176,u4187,u4209,u4216,u4228,u4238,6
229,u4230,u4152,u4181,u4185,u4235,u4250,,5
230,u4231,,,,,,,0
231,u4232,u4139,u4156,u4178,u4180,u4182,u4193,6
232,u4233,,,,,,,0
233,u4234,u4140,u4149,u4173,u4182,u4184,u4203,6
234,u4235,u4171,u4177,u4180,u4193,u4228,u4230,6
235,u4236,u4157,u4181,u4200,u4212,u4227,,5
236,u4237,u4164,u4185,u4186,u4215,u4228,u4244,6
237,u4238,u4184,u4187,u4218,u4229,u4247,u4252,6
238,u4239,,,,,,,0
239,u4240,,,,,,,0
240,u4241,,,,,,,0
241,u4242,u4133,u4157,u4159,u4177,u4187,u4206,6
242,u4243,,,,,,,0
243,u4244,,,,,,,0
244,u4245,u4164,u4172,u4183,u4190,u4201,u4240,6
245,u4246,u4135,u4138,u4161,u4183,u4231,u4240,6
246,u4247,u4172,u4174,u4207,u4253,,,4
247,u4248,,,,,,,0
248,u4249,u4136,u4151,u4218,u4222,u4239,u4254,6
249,u4250,u4132,u4142,u4150,u4171,u4224,u4230,6
250,u4251,u4133,u4145,u4170,u4175,u4201,u4223,6
251,u4252,,,,,,,0
252,u4253,,,,,,,0
253,u4254,u4147,u4152,u4167,u4188,u4210,u4249,6
254,u4255,,,,,,,0
255,u4256,,,,,,,0
